"place_name","city","province","category","best_season","rating","lat","lon","popularity","weather_tag","budget_level","trip_days"
"Minar-e-Pakistan","Lahore","Punjab","Historical/Monument","Winter","4.6","31.5204","74.3587","112","snowy","budget","1-2"
"Wazir Khan Mosque","Lahore","Punjab","Historical/Religious","Winter","4.7","31.5204","74.3587","114","snowy","budget","1-2"
"Katas Raj Temples","Chakwal","Punjab","Historical/Religious","Winter","4.4","32.93","72.85","108","snowy","budget","1-2"
"Taxila Museum","Taxila","Punjab","Historical/Museum","All","4.5","33.745","72.7875","110","sunny","budget","1-2"
"Hiran Minar","Sheikhupura","Punjab","Historical/Monument","Winter","4.3","31.7167","73.9833","106","snowy","budget","1-2"
"Derawar Fort","Bahawalpur","Punjab","Historical/Fort","Winter","4.6","29.3956","71.6836","112","snowy","budget","1-2"
"Mahabat Khan Mosque","Peshawar","Khyber Pakhtunkhwa","Historical/Religious","Winter","4.5","34.0151","71.5249","110","snowy","budget","1-2"
"Takht-i-Bahi","Mardan","Khyber Pakhtunkhwa","Archaeological/Religious","Winter","4.6","34.1989","72.0401","112","snowy","moderate","1-2"
"Kalam Valley","Kalam","Khyber Pakhtunkhwa","Valley","Summer","4.7","35.4902","72.5804","114","sunny","moderate","2-4"
"Malam Jabba","Swat","Khyber Pakhtunkhwa","Hill Station/Skiing","Winter","4.5","35.2227","72.4258","110","snowy","moderate","2-4"
"Chitral Valley","Chitral","Khyber Pakhtunkhwa","Valley","Summer","4.6","35.851","71.7864","112","sunny","moderate","2-4"
"Shogran","Kaghan Valley","Khyber Pakhtunkhwa","Hill Station","Summer","4.4","34.74","73.53","108","snowy","moderate","2-4"
"Ansoo Lake","Kaghan Valley","Khyber Pakhtunkhwa","Lake/Trekking","Summer","4.7","34.74","73.53","114","sunny","moderate","2-4"
"Rakaposhi Base Camp","Nagar","Gilgit-Baltistan","Trekking/Nature","Summer","4.8","36.32","74.68","116","sunny","moderate","2-4"
"Passu Cones","Gojal","Gilgit-Baltistan","Mountain","Summer","4.9","36.85","74.85","118","snowy","moderate","1-3"
"Khunjerab Pass","Hunza","Gilgit-Baltistan","Mountain Pass","Summer","4.8","36.3167","74.65","116","snowy","moderate","1-3"
"Baltit Fort","Karimabad","Gilgit-Baltistan","Historical/Fort","Spring/Autumn","4.7","36.3167","74.65","114","cloudy","budget","1-2"
"Altit Fort","Karimabad","Gilgit-Baltistan","Historical/Fort","Spring/Autumn","4.6","36.3167","74.65","112","cloudy","budget","1-2"
"Fairy Meadows","Diamer","Gilgit-Baltistan","Meadow/Trekking","Summer","4.9","35.3367","73.7322","118","snowy","moderate","2-4"
"Jaulian Monastery","Taxila","Punjab","Buddhist Monastery/Archaeological","Winter","4.6","33.745","72.7875","112","snowy","moderate","1-2"
"Dharmarajika Stupa","Taxila","Punjab","Buddhist Stupa/Archaeological","Winter","4.5","33.745","72.7875","110","snowy","budget","1-2"
"Sirkap Ruins","Taxila","Punjab","Archaeological City","Winter","4.4","33.745","72.7875","108","snowy","budget","1-2"
"Mohra Moradu","Taxila","Punjab","Buddhist Monastery/Archaeological","Winter","4.3","33.745","72.7875","106","snowy","moderate","1-2"
"Bhir Mound","Taxila","Punjab","Ancient Settlement/Archaeological","Winter","4.2","33.745","72.7875","104","snowy","moderate","1-2"
"Jandial Temple","Taxila","Punjab","Ancient Temple/Archaeological","Winter","4.1","33.745","72.7875","102","snowy","budget","1-2"
"Pakistan Monument","Islamabad","Islamabad Capital Territory","National Monument/Architecture","All","4.7","33.6844","73.0479","114","sunny","budget","1-2"
"Lok Virsa Museum","Islamabad","Islamabad Capital Territory","Museum/Cultural","All","4.6","33.6844","73.0479","112","sunny","budget","1-2"
"Rawal Lake","Islamabad","Islamabad Capital Territory","Lake/Nature","Spring/Summer","4.5","33.6844","73.0479","110","sunny","moderate","1-3"
"Shakarparian Hills","Islamabad","Islamabad Capital Territory","Hills/Nature","Spring","4.6","33.6844","73.0479","112","sunny","moderate","1-3"
"Margalla Hills National Park","Islamabad","Islamabad Capital Territory","National Park/Hiking","Spring/Autumn","4.8","33.6844","73.0479","116","sunny","budget","2-4"
"Daman-e-Koh","Islamabad","Islamabad Capital Territory","Hill Viewpoint","Spring/Autumn","4.6","33.6844","73.0479","112","cloudy","moderate","1-3"
"Pir Sohawa","Islamabad","Islamabad Capital Territory","Hill Station/Viewpoint","Summer","4.7","33.6844","73.0479","114","snowy","moderate","2-4"
"Japanese Park","Islamabad","Islamabad Capital Territory","Recreation/Park","Spring","4.4","33.6844","73.0479","108","sunny","budget","1-3"
"Rose and Jasmine Garden","Islamabad","Islamabad Capital Territory","Garden/Nature","Spring","4.5","33.6844","73.0479","110","sunny","budget","1-2"
"Saidpur Village","Islamabad","Islamabad Capital Territory","Heritage Village/Culture","All","4.6","33.6844","73.0479","112","sunny","budget","1-3"
"F-9 Park","Islamabad","Islamabad Capital Territory","Urban Park/Recreation","Spring","4.5","33.6844","73.0479","110","sunny","budget","1-3"
"Shah Allah Ditta Caves","Islamabad","Islamabad Capital Territory","Historical/Caves","Winter","4.4","33.6844","73.0479","108","snowy","budget","1-2"
"Khanpur Dam","Haripur","Khyber Pakhtunkhwa","Dam/Water Sports","Summer","4.6","33.9946","72.9106","112","sunny","moderate","2-4"
"Ayubia National Park","Abbottabad","Khyber Pakhtunkhwa","National Park/Nature","Summer","4.7","34.1688","73.2215","114","sunny","budget","2-4"
"Murree Hills","Murree","Punjab","Hill Station","Summer","4.6","33.9062","73.3903","112","snowy","moderate","2-4"
"Patriata Chair Lift","Murree","Punjab","Hill Station/Adventure","Summer","4.5","33.9062","73.3903","110","snowy","moderate","2-4"
"Nathia Gali","Abbottabad","Khyber Pakhtunkhwa","Hill Station","Summer","4.6","34.1688","73.2215","112","snowy","moderate","2-4"
"Mukeshpuri","Abbottabad","Khyber Pakhtunkhwa","Peak/Trekking","Summer","4.7","34.1688","73.2215","114","snowy","moderate","2-4"
"Dunga Gali","Abbottabad","Khyber Pakhtunkhwa","Hill Station","Summer","4.5","34.1688","73.2215","110","snowy","moderate","2-4"
"Thandiani","Abbottabad","Khyber Pakhtunkhwa","Hill Station","Summer","4.6","34.1688","73.2215","112","snowy","moderate","2-4"
"Banjosa Lake","Rawalakot","Khyber Pakhtunkhwa","Lake","Summer","4.5","33.8578","73.7604","110","sunny","moderate","1-3"
"Kallar Kahar","Chakwal","Punjab","Lake/Recreation","Winter","4.3","32.93","72.85","106","sunny","moderate","1-3"
"Neela Wahn","Chakwal","Punjab","Waterfall/Trekking","Winter","4.4","32.93","72.85","108","sunny","moderate","2-4"
"Swaik Lake","Chakwal","Punjab","Lake/Trekking","Winter","4.5","32.93","72.85","110","sunny","moderate","2-4"
"Soon Valley","Khushab","Punjab","Valley","Winter","4.4","32.2967","72.3525","108","sunny","moderate","2-4"
