"place_name","city","province","category","best_season","rating","lat","lon","popularity","weather_tag","budget_level","trip_days"
"Rose and Jasmine Garden","Islamabad","Islamabad Capital Territory","Garden/Nature","Spring","4.5","33.7016","73.0591","110","sunny","budget","1-2"
"Saidpur Village","Islamabad","Islamabad Capital Territory","Heritage Village/Culture","All","4.6","33.7356","73.0744","112","sunny","budget","1-3"
"F-9 Park","Islamabad","Islamabad Capital Territory","Urban Park/Recreation","Spring","4.5","33.7052","73.0107","110","sunny","budget","1-3"
"Shah Allah Ditta Caves","Islamabad","Islamabad Capital Territory","Historical/Caves","Winter","4.4","33.7472","72.9822","108","snowy","budget","1-2"
"Khanpur Dam","Haripur","Khyber Pakhtunkhwa","Dam/Water Sports","Summer","4.6","33.8267","72.9417","112","sunny","moderate","2-4"
"Ayubia National Park","Abbottabad","Khyber Pakhtunkhwa","National Park/Nature","Summer","4.7","34.0856","73.3900","114","sunny","budget","2-4"
"Murree Hills","Murree","Punjab","Hill Station","Summer","4.6","33.9062","73.3903","112","snowy","moderate","2-4"
"Patriata Chair Lift","Murree","Punjab","Hill Station/Adventure","Summer","4.5","33.8425","73.4431","110","snowy","moderate","2-4"
"Nathia Gali","Abbottabad","Khyber Pakhtunkhwa","Hill Station","Summer","4.6","34.0700","73.3900","112","snowy","moderate","2-4"
"Mukeshpuri","Abbottabad","Khyber Pakhtunkhwa","Peak/Trekking","Summer","4.7","34.0900","73.3800","114","snowy","moderate","2-4"
"Dunga Gali","Abbottabad","Khyber Pakhtunkhwa","Hill Station","Summer","4.5","34.0800","73.4100","110","snowy","moderate","2-4"
"Thandiani","Abbottabad","Khyber Pakhtunkhwa","Hill Station","Summer","4.6","34.1100","73.4500","112","snowy","moderate","2-4"
"Banjosa Lake","Rawalakot","Khyber Pakhtunkhwa","Lake","Summer","4.5","33.8578","73.7604","110","sunny","moderate","1-3"
"Kallar Kahar","Chakwal","Punjab","Lake/Recreation","Winter","4.3","32.7800","72.6958","106","sunny","moderate","1-3"
"Neela Wahn","Chakwal","Punjab","Waterfall/Trekking","Winter","4.4","32.8500","72.7200","108","sunny","moderate","2-4"
"Swaik Lake","Chakwal","Punjab","Lake/Trekking","Winter","4.5","32.9800","72.8600","110","sunny","moderate","2-4"
"Soon Valley","Khushab","Punjab","Valley","Winter","4.4","32.4831","72.3522","108","sunny","moderate","2-4"
